SIZE	TIPO 1	TIPO 1 - Description	TIPO 2	TIPO 2 - Description	Condicion	Condition - Description	CODE SF	ID	Categoria	Imagenes	Ancho	Alto	Largo	container_description
20	Reefer	Refrigerado	RH	Reefer High Cube	CW	Apto para carga 	20RH CW	59	size > 20PIES; Condition > CW; general > Reefer > RH	RF20_1	2,43	2,89	6,05	Contenedores frigorificos, estos contenedores podemos usarlos para todo tipo de mercaderia, tanto refrigerada con el motor prendido para su conservacion, como con el motor apagado para poder tener un aislamiento superior. En caso de usar para lo segundo, recomendamos mirar los contenedores para almacenaje, la relacion calidad precio es mejor.
20	Reefer	Refrigerado	RH	Reefer High Cube	ASIS	Almacenaje / Modificarlo y reutilizar	20RH ASIS	60	size > 20PIES; Condition > ASIS; general > Reefer > RH	RF20_1	2,43	2,89	6,05	Contenedores utilizados para almacenar mercaderia donde por diferente motivos, su temperatura debe ser menor a la normal y los contenedores que denominamos"secos" no cuentan con el aislamiento que permita esto. Los contenedores contenedores no tienen el motor funcionando pero si tiene la estructura en optimas condiciones. 
20	Special	Especiales	FR	Flat Rack	CW	Apto para carga 	20FR CW	63	size > 20PIES; Condition > CW; general > Special > FR	20FRCW_1	2,43	2,89	6,05	Contenedores utilziados para carga dimensionada, donde el alto supera el permitido para los contenedores normales. 
20	Special	Especiales	OS	Open side	NEW	Nuevo	20OS NEW	68	size > 20PIES; Condition > NEW; general > Special > OS	20OSNEW_1, 20OSNEW_2, 20OSNEW_3, 20OSNEW_4, 20OSNEW_5, 20OSNEW_6	2,43	2,59	6,05	Contenedores utilizados para almacenar mercaderia, expandir el espacio de almacenaje temporalmente como de manera fija. Estos contenedores son muy especiales por que cuentas con puertas en los laterales y te permiten retirar desde el lateral. Puede servir para espacio o modalidades de almacenaje que debes contar con una manera de almacenar y retirar mercaderia por los costados.
20	Special	Especiales	OT	Open Top	CW	Apto para carga 	20OT CW	69	size > 20PIES; Condition > CW; general > Special > OT	20OTCW_1	2,43	2,59	6,05	Contenedores para aptos para carga maritima, cuentan con una lona montable y desmondable que permite al usuario almacenar carga sobre dimensionada o bien, facilitando la carga por arriba de la mercaderia.
20	Special	Especiales	OT	Open Top	ASIS	Almacenaje / Modificarlo y reutilizar	20OT ASIS	70	size > 20PIES; Condition > ASIS; general > Special > OT	OT20_1	2,43	2,59	6,05	Contenedores para aptos para carga maritima, cuentan con una lona montable y desmondable que permite al usuario almacenar carga sobre dimensionada o bien, facilitando la carga por arriba de la mercaderia.
20	Special	Especiales	OT	Open Top	NEW	Nuevo	20OT NEW	71	size > 20PIES; Condition > NEW; general > Special > OT	20OT NEW	2,43	2,59	6,05	Contenedores para aptos para carga maritima, cuentan con una lona montable y desmondable que permite al usuario almacenar carga sobre dimensionada o bien, facilitando la carga por arriba de la mercaderia.
20	Special	Especiales	TK	Isotank	CW	Apto para carga 	20TK CW	73	size > 20PIES; Condition > CW; general > Special > TK	ISOTANKS	2,43	2,59	6,05	Contenedores para transporte de liquidos o a granel
20	Special	Especiales	TK	Isotank	ASIS	Almacenaje / Modificarlo y reutilizar	20TK ASIS	74	size > 20PIES; Condition > ASIS; general > Special > TK	ISOTANKS	2,43	2,59	6,05	Estos contenedores estan en condicion sin revisar, recomendamos siempre optar por los aptos para carga, que permitiran utilizarlos para exportacion.
20	Special	Especiales	TK	Isotank	NEW	Nuevo	20TK NEW	75	size > 20PIES; Condition > NEW; general > Special > TK	ISOTANKS	2,43	2,59	6,05	Contenedores para transporte de liquidos o a granel
20	Special	Especiales	DC DD	Standard Double Door	NEW	Nuevo	20DC DD NEW	77	size > 20PIES; Condition > NEW; general > Special > DC DD	20HCDDNEW, IMG_7552	2,43	2,59	6,05	Contenedores que cuentan con doble puerta, tanto por el frente como por la parte trasera
20	Special	Especiales	HC DD	High Cube Double Door	NEW	Nuevo	20HC DD NEW	80	size > 20PIES; Condition > NEW; general > Special > HC DD	20HCDDNEW_1, 20HCDDNEW_2, 20HCDDNEW_3, 20HCDDNEW_20HCDDNEW	2,43	2,89	6,05	Contenedores que cuentan con doble puerta, tanto por el frente como por la parte trasera
40	Dry	Seco	DC	Standard	CW	Apto para carga 	40DC CW	82	size > 40PIES; Condition > CW; general > Dry > DC	40DCCW_1, 40DCCW_2, 40DCCW_3	2,43	2,59	12,19	Contenedores que estan en condicion de aptos para carga, puedes utilizarlos tanto para almacenaje, modificacion aunque su mayor rendimiento y para lo que se destinan es para exportar mercaderia
40	Dry	Seco	DC	Standard	ASIS	Almacenaje / Modificarlo y reutilizar	40DC ASIS	83	size > 40PIES; Condition > ASIS; general > Dry > DC	40DC5, 40DV3	2,43	2,59	12,19	Contenedores utilizados para almacenar mercaderia, expandir el espacio de almacenaje temporalmente como de manera fija. Los contenedores tiene 15 años de uso y suelen presentar una estetica deteriorada, sin duda es su relacion, calidad - precio es lo que que recomendamos para nuestros clientes.
40	Dry	Seco	DC	Standard	NEW	Nuevo	40DC NEW	84	size > 40PIES; Condition > NEW; general > Dry > DC	40DCNEW_1, 40DCNEW_2, 40DCNEW_3	2,43	2,59	12,19	Contenedores en excelente estado, vinieron con carga desde donde los producimos en Asia y luego quedan vaciados en nuetros depositos. Son aptos para carga, modificarlos para casa u oficina o para almancenaje. A todo lo que te da un contenedor usado se le suma a estos la estetica como el punto mas alto.
40	Dry	Seco	DC	Standard	SCRAP	Chatarra	40DC SCRAP	87	size > 40PIES; Condition > SCRAP; general > Dry > DC		2,43	2,59	12,19	contenedores que han sufrido daños muy severos, desconocemos el daño especifico del contenedor, pero sabemos que no puede ser utilizado para almacenar ni exportar. Muy utilizado para chatarra o para clientes que necesitan utilizar las partes del contenedor.
