SIZE	TIPO 1	TIPO 1 - Description	TIPO 2	TIPO 2 - Description	Condicion	Condition - Description	CODE SF	ID	Categoria	Imagenes	Ancho	Alto	Largo	Peso	Tara	container_description
20	Special	Special | Especiales	HC DD	High Cube Double Door	NEW	Nuevo | NEW	20HC DD NEW	80	size > 20PIES; Condition > NEW; general > Special > HC DD		2.43	2.89	6.05			Contenedores que cuentan con doble puerta, tanto por el frente como por la parte trasera
20	Special	Special | Especiales	HC DD	High Cube Double Door	1st Voyage	1er viaje | 1st voyage	20HC DD 1st Voyage	81	size > 20PIES; Condition > 1st Voyage; general > Special > HC DD		2.43	2.89	6.05			Contenedores que cuentan con doble puerta, tanto por el frente como por la parte trasera
40	Dry	Seco | Dry	DC	DRY Standard	CW	Carga | Cargo Worthy	40DC CW	82	size > 40PIES; Condition > CW; general > Dry > DC		2.43	2.59	12.19			Contenedores que estan en condicion de aptos para carga, puedes utilizarlos tanto para almacenaje, modificacion aunque su mayor rendimiento y para lo que se destinan es para exportar mercaderia
40	Dry	Seco | Dry	DC	DRY Standard	ASIS	Almacenaje / Modificacion | Storage	40DC ASIS	83	size > 40PIES; Condition > ASIS; general > Dry > DC		2.43	2.59	12.19			Contenedores utilizados para almacenar mercaderia, expandir el espacio de almacenaje temporalmente como de manera fija. Los contenedores tiene 15 años de uso y suelen presentar una estetica deteriorada, sin duda es su relacion, calidad - precio es lo que que recomendamos para nuestros clientes.
40	Dry	Seco | Dry	DC	DRY Standard	NEW	Nuevo | NEW	40DC NEW	84	size > 40PIES; Condition > NEW; general > Dry > DC		2.43	2.59	12.19			Contenedores en excelente estado, vinieron con carga desde donde los producimos en Asia y luego quedan vaciados en nuetros depositos. Son aptos para carga, modificarlos para casa u oficina o para almancenaje. A todo lo que te da un contenedor usado se le suma a estos la estetica como el punto mas alto.
40	Dry	Seco | Dry	DC	DRY Standard	1st Voyage	1er viaje | 1st voyage	40DC 1st Voyage	85	size > 40PIES; Condition > 1st Voyage; general > Dry > DC		2.43	2.59	12.19			Contenedores en excelente estado, vinieron con carga desde donde los producimos en Asia y luego quedan vaciados en nuetros depositos. Son aptos para carga, modificarlos para casa u oficina o para almancenaje. A todo lo que te da un contenedor usado se le suma a estos la estetica como el punto mas alto.
40	Dry	Seco | Dry	DC	DRY Standard	IICL	IICL	40DC IICL	86	size > 40PIES; Condition > IICL; general > Dry > DC		2.43	2.59	12.19			Contenedores que estan en condicion de aptos para carga, puedes utilizarlos tanto para almacenaje, modificacion aunque su mayor rendimiento y para lo que se destinan es para exportar mercaderia. La condicion IICL tiene como diferencia un certificado, suelen ser del 2010 al 2012
40	Dry	Seco | Dry	DC	DRY Standard	SCRAP	Chatarra |Recycle	40DC SCRAP	87	size > 40PIES; Condition > SCRAP; general > Dry > DC		2.43	2.59	12.19			contenedores que han sufrido daños muy severos, desconocemos el daño especifico del contenedor, pero sabemos que no puede ser utilizado para almacenar ni exportar. Muy utilizado para chatarra o para clientes que necesitan utilizar las partes del contenedor.
40	Dry	Seco | Dry	HC	High Cube	CW	Carga | Cargo Worthy	40HC CW	88	size > 40PIES; Condition > CW; general > Dry > HC		2.43	2.89	12.19			Contenedores que estan en condicion de aptos para carga, puedes utilizarlos tanto para almacenaje, modificacion aunque su mayor rendimiento y para lo que se destinan es para exportar mercaderia
40	Dry	Seco | Dry	HC	High Cube	ASIS	Almacenaje / Modificacion | Storage	40HC ASIS	89	size > 40PIES; Condition > ASIS; general > Dry > HC		2.43	2.89	12.19			Contenedores utilizados para almacenar mercaderia, expandir el espacio de almacenaje temporalmente como de manera fija. Tambien puedes modificarlo y hacer una casa, oficina o cualquier proyecto modular que te haga ilucion, ayudando al medio ambiente y a ser mas ecofriendly. Los contenedores tiene 15 años de uso y suelen presentar una estetica deteriorada, por su relacion, calidad - precio, es lo que que recomendamos para nuestros clientes.
40	Dry	Seco | Dry	HC	High Cube	NEW	Nuevo | NEW	40HC NEW	90	size > 40PIES; Condition > NEW; general > Dry > HC		2.43	2.89	12.19			Contenedores en excelente estado, vinieron con carga desde donde los producimos en Asia y luego quedan vaciados en nuetros depositos. Son aptos para carga, modificarlos para casa u oficina o para almancenaje. A todo lo que te da un contenedor usado se le suma a estos la estetica como el punto mas alto.
40	Dry	Seco | Dry	HC	High Cube	1st Voyage	1er viaje | 1st voyage	40HC 1st Voyage	91	size > 40PIES; Condition > 1st Voyage; general > Dry > HC		2.43	2.89	12.19			Contenedores en excelente estado, vinieron con carga desde donde los producimos en Asia y luego quedan vaciados en nuetros depositos. Son aptos para carga, modificarlos para casa u oficina o para almancenaje. A todo lo que te da un contenedor usado se le suma a estos la estetica como el punto mas alto.
40	Dry	Seco | Dry	HC	High Cube	IICL	IICL	40HC IICL	92	size > 40PIES; Condition > IICL; general > Dry > HC		2.43	2.89	12.19			Contenedores que estan en condicion de aptos para carga, puedes utilizarlos tanto para almacenaje, modificacion aunque su mayor rendimiento y para lo que se destinan es para exportar mercaderia. La condicion IICL tiene como diferencia un certificado, suelen ser del 2010 al 2012
40	Dry	Seco | Dry	HC	High Cube	SCRAP	Chatarra |Recycle	40HC SCRAP	93	size > 40PIES; Condition > SCRAP; general > Dry > HC		2.43	2.89	12.19			contenedores que han sufrido daños muy severos, desconocemos el daño especifico del contenedor, pero sabemos que no puede ser utilizado para almacenar ni exportar. Muy utilizado para chatarra o para clientes que necesitan utilizar las partes del contenedor.
